,ElasticNet,ANOVA,RandomForest,Score
sasa_hydrophobic,0.0,0.0,1.0,1.0
sasa_hydrophilic,0.0,0.0,1.0,1.0
sasa_polar,1.0,0.0,1.0,2.0
sasa_aromatic,0.0,0.0,1.0,1.0
sasa_aliphatic,0.0,0.0,1.0,1.0
sasa_charged,0.0,0.0,1.0,1.0
sasa_positive,0.0,0.0,1.0,1.0
sasa_negative,1.0,0.0,1.0,2.0
sasa_g,1.0,0.0,1.0,2.0
sasa_v,0.0,0.0,1.0,1.0
sasa_s,1.0,0.0,1.0,2.0
sasa_n,0.0,0.0,1.0,1.0
sasa_l,0.0,0.0,1.0,1.0
sasa_p,0.0,0.0,1.0,1.0
sasa_A,0.0,0.0,1.0,1.0
sasa_b,0.0,0.0,1.0,1.0
sasa_d,0.0,0.0,1.0,1.0
sasa_e,1.0,0.0,1.0,2.0
sasa_f,0.0,0.0,1.0,1.0
sasa_ala,1.0,0.0,1.0,2.0
sasa_cys,1.0,0.0,1.0,2.0
sasa_asp,0.0,0.0,1.0,1.0
sasa_glu,0.0,0.0,1.0,1.0
sasa_phe,0.0,0.0,0.0,0.0
sasa_his,0.0,0.0,1.0,1.0
sasa_ile,1.0,0.0,1.0,2.0
sasa_lys,1.0,0.0,1.0,2.0
sasa_leu,1.0,0.0,0.0,1.0
sasa_met,0.0,0.0,1.0,1.0
sasa_asn,0.0,0.0,1.0,1.0
sasa_gln,0.0,0.0,1.0,1.0
sasa_arg,0.0,0.0,1.0,1.0
sasa_ser,1.0,0.0,1.0,2.0
sasa_thr,0.0,0.0,1.0,1.0
sasa_val,1.0,0.0,0.0,1.0
sasa_trp,0.0,0.0,0.0,0.0
sasa_tyr,0.0,0.0,1.0,1.0
all_sasa_hydrophobic,0.0,0.0,1.0,1.0
all_sasa_hydrophilic,0.0,0.0,1.0,1.0
all_sasa_polar,0.0,0.0,1.0,1.0
all_sasa_aromatic,0.0,0.0,1.0,1.0
all_sasa_aliphatic,0.0,0.0,1.0,1.0
all_sasa_charged,0.0,0.0,1.0,1.0
all_sasa_positive,0.0,0.0,1.0,1.0
all_sasa_negative,0.0,0.0,1.0,1.0
all_sasa_g,0.0,0.0,1.0,1.0
all_sasa_v,0.0,0.0,1.0,1.0
all_sasa_s,0.0,0.0,1.0,1.0
all_sasa_n,0.0,0.0,1.0,1.0
all_sasa_l,0.0,0.0,1.0,1.0
all_sasa_p,0.0,0.0,1.0,1.0
all_sasa_A,0.0,0.0,1.0,1.0
all_sasa_b,0.0,0.0,1.0,1.0
all_sasa_d,0.0,0.0,1.0,1.0
all_sasa_e,0.0,0.0,1.0,1.0
all_sasa_f,0.0,0.0,1.0,1.0
all_sasa_ala,0.0,0.0,1.0,1.0
all_sasa_cys,1.0,0.0,1.0,2.0
all_sasa_asp,0.0,0.0,1.0,1.0
all_sasa_glu,0.0,0.0,1.0,1.0
all_sasa_phe,1.0,0.0,1.0,2.0
all_sasa_his,0.0,0.0,1.0,1.0
all_sasa_ile,0.0,0.0,1.0,1.0
all_sasa_lys,1.0,0.0,1.0,2.0
all_sasa_leu,1.0,0.0,1.0,2.0
all_sasa_met,1.0,0.0,1.0,2.0
all_sasa_asn,0.0,0.0,1.0,1.0
all_sasa_gln,0.0,0.0,1.0,1.0
all_sasa_arg,0.0,0.0,1.0,1.0
all_sasa_ser,0.0,0.0,1.0,1.0
all_sasa_thr,0.0,0.0,1.0,1.0
all_sasa_val,0.0,0.0,1.0,1.0
all_sasa_trp,0.0,0.0,1.0,1.0
all_sasa_tyr,0.0,0.0,1.0,1.0
sasa_back,1.0,0.0,1.0,2.0
all_sasa_back,0.0,0.0,1.0,1.0
sasa_side,0.0,0.0,1.0,1.0
all_sasa_side,0.0,0.0,1.0,1.0
all_sasa_back_with_whole_target,0.0,0.0,1.0,1.0
all_sasa_side_with_whole_target,0.0,0.0,1.0,1.0
sasa_target_ser_thr,0.0,0.0,1.0,1.0
sasa_all_around_target_ser_thr,0.0,0.0,1.0,1.0
sasa_all_with_around_target_ser_thr,0.0,1.0,1.0,2.0
net_charge_all_around_target_ser_thr,1.0,1.0,1.0,3.0
net_charge_all_with_around_target_ser_thr,0.0,1.0,1.0,2.0
net_charge_all_backbone_around_target_ser_thr,0.0,1.0,1.0,2.0
net_charge_all_sidechain_around_target_ser_thr,0.0,1.0,1.0,2.0
net_charge_all_backbone_with_around_target_ser_thr,0.0,1.0,1.0,2.0
net_charge_all_sidechain_with_around_target_ser_thr,0.0,1.0,1.0,2.0
all_atom_positive_charge_all_around_target_ser_thr,0.0,1.0,1.0,2.0
all_atom_positive_charge_all_with_around_target_ser_thr,0.0,1.0,1.0,2.0
all_atom_positive_charge_all_backbone_around_target_ser_thr,0.0,1.0,1.0,2.0
all_atom_positive_charge_all_sidechain_around_target_ser_thr,0.0,1.0,1.0,2.0
all_atom_positive_charge_all_backbone_with_around_target_ser_thr,0.0,1.0,1.0,2.0
all_atom_positive_charge_all_sidechain_with_around_target_ser_thr,0.0,0.0,1.0,1.0
all_atom_negative_charge_all_around_target_ser_thr,0.0,0.0,1.0,1.0
all_atom_negative_charge_all_with_around_target_ser_thr,0.0,0.0,1.0,1.0
all_atom_negative_charge_all_backbone_around_target_ser_thr,0.0,0.0,1.0,1.0
all_atom_negative_charge_all_sidechain_around_target_ser_thr,0.0,0.0,1.0,1.0
all_atom_negative_charge_all_backbone_with_around_target_ser_thr,0.0,0.0,1.0,1.0
all_atom_negative_charge_all_sidechain_with_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_charge_all_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_charge_all_with_around_target_ser_thr,1.0,0.0,1.0,2.0
exposed_charge_all_backbone_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_charge_all_sidechain_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_charge_all_backbone_with_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_charge_all_sidechain_with_around_target_ser_thr,1.0,0.0,1.0,2.0
exposed_positive_charge_all_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_positive_charge_all_with_around_target_ser_thr,1.0,0.0,1.0,2.0
exposed_positive_charge_all_backbone_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_positive_charge_all_sidechain_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_positive_charge_all_backbone_with_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_positive_charge_all_sidechain_with_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_negative_charge_all_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_negative_charge_all_with_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_negative_charge_all_backbone_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_negative_charge_all_sidechain_around_target_ser_thr,0.0,0.0,1.0,1.0
exposed_negative_charge_all_backbone_with_around_target_ser_thr,0.0,0.0,1.0,1.0
